,swl_code,swl_description,swl_unit,belongs_to,swl_metacode,swl_source,code,code_long_name,code_system,version,ucum_unit,validated
4412,CPASW,Chlamydia pneumoniae IgA,Ratio,Bakteriologie,emptyvalue,emptyvalue,100124-7,Chlamydophila pneumoniae IgA Ab [Units/volume] in Serum by Immunoassay,http://loinc.org,2.72,[arb'U]/mL,X
4414,CPAS,Chlamydia pneumoniae IgA,U/ml,Bakteriologie,emptyvalue,emptyvalue,100124-7,Chlamydophila pneumoniae IgA Ab [Units/volume] in Serum by Immunoassay,http://loinc.org,2.72,[arb'U]/mL,X
4417,COXS,Coxsackie-Gruppe Gesamt-Ig,Titer,Virologie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,&#123;titer},X
4418,COXL,Coxsackie-Gruppe Gesamt-Ig,Titer,Virologie,emptyvalue,emptyvalue,50691-5,Coxsackievirus A9+B1+B2+B3+B4+B5+B6 Ab [Titer] in Serum by Complement fixation,emptyvalue,2.32,&#123;titer},emptyvalue
4420,COV2N,anti-SARS-CoV-2-N-Protein,COI,Virologie,emptyvalue,emptyvalue,99596-9,SARS-CoV-2 (COVID-19) N protein IgG Ab [Presence] in Serum or Plasma by Immunoassay,http://loinc.org,2.72,&#123;cut_off_index},X
4424,COV2,anti-SARS-CoV-2-S-Protein,U/ml,Virologie,emptyvalue,emptyvalue,94769-7 ,SARS-CoV-2 (COVID-19) Ab [Units/volume] in Serum or Plasma by Immunoassay,http://loinc.org,2.71,[IU]/mL,X
4425,COTI,Cotinin [Fremdlabor],µg/l,0,emptyvalue,emptyvalue,10365-5,Cotinine [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,ug/L,X
4426,CORM30,Cortisol -30 min,µg/l,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,ug/L,X
4427,CORh8,Cortisol 8 Uhr,µg/l,Hormone,emptyvalue,emptyvalue,48104-4,Cortisol [Mass/volume] in Serum or Plasma --8 AM specimen,http://loinc.org,2.70,ug/L,X
4428,CORh18,Cortisol 18 Uhr,µg/l,Hormone,emptyvalue,emptyvalue,50431-6,Cortisol [Mass/volume] in Serum or Plasma --6 PM specimen,http://loinc.org,2.40,ug/L,X
4429,CORh12,Cortisol 12 Uhr,µg/l,Hormone,emptyvalue,emptyvalue,48098-8,Cortisol [Mass/volume] in Serum or Plasma --12 AM specimen,http://loinc.org,2.70,ug/L,X
4430,CORd5,Cortisol 5. Tag  8 Uhr,µg/l,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,ug/L,X
4431,CORd4,Cortisol 4. Tag  8 Uhr,µg/l,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,ug/L,X
4432,CORd3,Cortisol 3. Tag  8 Uhr,µg/l,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,ug/L,X
4433,CORd2_hilf,Cortisol 2. Tag  8 Uhr,µg/l,Hormone,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,ug/L,X
4435,CORd2,Cortisol 2. Tag  8 Uhr,µg/l,Hormone,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,ug/L,X
4436,CORd1,Cortisol 1. Tag  8 Uhr,µg/l,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,ug/L,X
4437,COR90,Cortisol 90 min,µg/l,Hormone,emptyvalue,emptyvalue,29363-9,Cortisol [Mass/volume] in Serum or Plasma --1.5 hours post XXX challenge,http://loinc.org,2.70,ug/L,X
4438,COR7,Cortisol v. Dexameth.Gabe,µg/l,Hormone,emptyvalue,emptyvalue,40928-4,Cortisol [Mass/volume] in Serum or Plasma --pre dose dexamethasone,http://loinc.org,2.40,ug/L,X
4439,COR60,Cortisol 60 min,µg/l,Hormone,emptyvalue,emptyvalue,12567-4,Cortisol [Mass/volume] in Serum or Plasma --1 hour post XXX challenge,http://loinc.org,2.58,ug/L,X
4440,COR6,Cortisol n. Dexameth. Gabe,µg/l,Hormone,emptyvalue,emptyvalue,47851-1,Cortisol [Mass/volume] in Serum or Plasma --post dose dexamethasone,http://loinc.org,2.70,ug/L,X
4441,COR5,Cortisol n. ACTH Gabe,µg/l,#NV,emptyvalue,emptyvalue,47850-3,Cortisol [Mass/volume] in Serum or Plasma --post dose corticotropin,http://loinc.org,2.70,ug/L,X
4442,COR4,Cortisol v. ACTH Gabe,µg/l,Hormone,emptyvalue,emptyvalue,41407-8,Cortisol [Mass/volume] in Serum or Plasma --pre dose corticotropin,http://loinc.org,2.70,ug/L,X
4443,COR30,Cortisol 30 min,µg/l,Hormone,emptyvalue,emptyvalue,12566-6,Cortisol [Mass/volume] in Serum or Plasma --30 minutes post XXX challenge,http://loinc.org,2.58,ug/L,X
4444,COR3,Cortisol (18 Uhr),µg/l,Hormone,emptyvalue,emptyvalue,50431-6,Cortisol [Mass/volume] in Serum or Plasma --6 PM specimen,http://loinc.org,2.40,ug/L,X
4445,COR240,Cortisol 240 min,µg/l,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,ug/L,X
4446,COR2,Cortisol (12 Uhr),µg/l,Hormone,emptyvalue,emptyvalue,48098-8,Cortisol [Mass/volume] in Serum or Plasma --12 AM specimen,http://loinc.org,2.70,ug/L,X
4447,COR120,Cortisol 120 min,µg/l,Hormone,emptyvalue,emptyvalue,21224-1,Cortisol [Mass/volume] in Serum or Plasma --2 hours post XXX challenge,http://loinc.org,2.58,ug/L,X
4449,COR1,Cortisol,µg/l,Hormone,emptyvalue,emptyvalue,83088-5,Cortisol [Mass/volume] in Serum or Plasma by Immunoassay,http://loinc.org,2.58,ug/L,X
4450,COR0,Cortisol 0 min,µg/l,Hormone,emptyvalue,emptyvalue,43215-3,Cortisol [Mass/volume] in Serum or Plasma --baseline,http://loinc.org,2.40,ug/L,X
4451,COLP,COL-IA1-Polymorphismus,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
4452,COLIS,Colistin [Fremdlabor],mg/l,#NV,emptyvalue,emptyvalue,16645-4,Colistin [Mass/volume] in Serum or Plasma,http://loinc.org,2.42,mg/L,X
4453,COHB-POCT,Carboxyhämoglobin-Fraktion des Gesamthämoglobins in Blut,%,Hb-Derivate venös,emptyvalue,Venoes,2032-1,Carboxyhemoglobin/Hemoglobin.total in Venous blood,http://loinc.org,2.70,%,X
4454,COHB-POCT,Carboxyhämoglobin-Fraktion des Gesamthämoglobins in Blut,%,Hb-Derivate arteriell,emptyvalue,Arteriell,2030-5,Carboxyhemoglobin/Hemoglobin.total in Arterial blood,http://loinc.org,2.70,%,X
4455,COHB-POCT,Carboxyhämoglobin-Fraktion des Gesamthämoglobins in Blut,%,Hb-Derivate kapillär,emptyvalue,Kapillare,2031-3,Carboxyhemoglobin/Hemoglobin.total in Capillary blood,http://loinc.org,2.70,%,X
4456,COHB-POCT,Carboxyhämoglobin-Fraktion des Gesamthämoglobins in Blut,%,"Hb-Derivate, gemischtvenös (Rechtsherzkatheter)",emptyvalue,gemischtVenoes,41648-7,Carboxyhemoglobin/Hemoglobin.total in Mixed venous blood,http://loinc.org,2.70,%,X
4457,COHB-POCT,Carboxyhämoglobin-Fraktion des Gesamthämoglobins in Blut,%,emptyvalue,emptyvalue,emptyvalue,20563-3,Carboxyhemoglobin/Hemoglobin.total in Blood,http://loinc.org,2.73,emptyvalue,X
4458,COHB,CO-Hämoglobin,%,Blut,emptyvalue,emptyvalue,20563-3,Carboxyhemoglobin/Hemoglobin.total in Blood,http://loinc.org,2.70,%,X
4462,COFTHK,Coronavirus HKU1,emptyvalue,Virologie,emptyvalue,emptyvalue,101420-8,Human coronavirus HKU1 RNA [Presence] in Respiratory system specimen by NAA with probe detection,http://loinc.org,2.75,emptyvalue,X
4464,COFT63,Coronavirus NL63,emptyvalue,Virologie,emptyvalue,emptyvalue,101421-6,Human coronavirus NL63 RNA [Presence] in Respiratory system specimen by NAA with probe detection,http://loinc.org,2.75,emptyvalue,X
4466,COFT43,Coronavirus OC43,emptyvalue,Virologie,emptyvalue,emptyvalue,101422-4,Human coronavirus OC43 RNA [Presence] in Respiratory system specimen by NAA with probe detection,http://loinc.org,2.75,emptyvalue,X
4468,COFT229,Coronavirus 229E,emptyvalue,Virologie,emptyvalue,emptyvalue,101419-0,Human coronavirus 229E RNA [Presence] in Respiratory system specimen by NAA with probe detection,http://loinc.org,2.75,emptyvalue,X
4470,COFT,Coronavirus,emptyvalue,Virologie,emptyvalue,emptyvalue,41454-0,Human coronavirus identified in Specimen,http://loinc.org,	2.79,emptyvalue,X
4472,COFF,Coffein,mg/l,Blut,emptyvalue,emptyvalue,3422-3,Caffeine [Mass/volume] in Serum or Plasma,http://loinc.org,2.40,mg/L,X
4473,COF,Coffein [Fremdlabor],mg/l,Blut,emptyvalue,emptyvalue,3422-3,Caffeine [Mass/volume] in Serum or Plasma,http://loinc.org,2.40,mg/L,X
4474,COE,Coeruloplasmin,g/l,Klinische Chemie,emptyvalue,emptyvalue,2064-4,Ceruloplasmin [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,g/L,X
4476,CODEIN,Codein [Fremdlabor],µg/l,Toxikologie Sonstiges,emptyvalue,emptyvalue,3506-3,Codeine [Mass/volume] in Serum or Plasma,http://loinc.org,2.40,ug/L,X
4477,COBS,Cobalt (Serum) [Fremdlabor],µg/l,#NV,emptyvalue,emptyvalue,5627-5,Cobalt [Mass/volume] in Blood,http://loinc.org,2.42,ug/L,X
4478,COBE,Cobalt (EDTA-Blut) [Fremdlabor],µg/l,#NV,emptyvalue,emptyvalue,5625-9,Cobalt [Mass/volume] in Blood,http://loinc.org,2.42,ug/L,X
4481,CN1A,"cN-1A,  Ak geg. [Fremdlabor]",emptyvalue,Myositis-assoziierte Autoantikörper,emptyvalue,emptyvalue,94097-3,Cytosolic 5'-nucleotidase 1A IgG Ab [Presence] in Serum or Plasma by Immunoassay,http://loinc.org,2.67,emptyvalue,X
4482,CMXS,Cytomegalievirus IgG,emptyvalue,Virologie,emptyvalue,emptyvalue,13949-3,Cytomegalovirus IgG Ab [Presence] in Serum or Plasma by Immunoassay,http://loinc.org,2.70,emptyvalue,X
4483,CMWML,Cytomegalievirus IgM,emptyvalue,Virologie,emptyvalue,emptyvalue,43045-4,Cytomegalovirus IgM Ab [Presence] in Cerebral spinal fluid,http://loinc.org,2.56,emptyvalue,X
4485,CMWM,Cytomegalievirus IgM,emptyvalue,Virologie,emptyvalue,emptyvalue,24119-0,Cytomegalovirus IgM Ab [Presence] in Serum or Plasma by Immunoassay,http://loinc.org,2.56,emptyvalue,X
4487,CMWGL,Cytomegalievirus IgG,emptyvalue,Virologie,emptyvalue,emptyvalue,42495-2,Cytomegalovirus IgG Ab [Presence] in Cerebral spinal fluid,http://loinc.org,2.56,emptyvalue,X
4490,CMWG,Cytomegalievirus IgG,emptyvalue,Virologie,emptyvalue,emptyvalue,22244-8,Cytomegalovirus IgG Ab [Presence] in Serum or Plasma,http://loinc.org,2.63,emptyvalue,X
4491,CMVRO,HCMV DNA,Kopien/ ml,Virologie,emptyvalue,emptyvalue,33006-8,Cytomegalovirus DNA [#/volume] (viral load) in Specimen by NAA with probe detection,http://loinc.org,2.73,&#123;copies}/mL,X
4492,CMVN9,Cytomegalievirus,emptyvalue,Virologie,emptyvalue,emptyvalue,5000-5,Cytomegalovirus DNA [Presence] in Specimen by NAA with probe detection,http://loinc.org,2.73,emptyvalue,X
4494,CMPV,HCMV DNA,emptyvalue,Virologie,emptyvalue,emptyvalue,5000-5,Cytomegalovirus DNA [Presence] in Specimen by NAA with probe detection,http://loinc.org,2.69,emptyvalue,X
4496,CMPIU,HCMV DNA,IU/ml,Virologie,emptyvalue,emptyvalue,34720-3,Cytomegalovirus DNA [Units/volume] (viral load) in Specimen by NAA with probe detection,http://loinc.org,2.69,[IU]/mL,X
4497,CMML,Cytomegalievirus IgM,AU/ml,Virologie,emptyvalue,emptyvalue,44817-5,Cytomegalovirus IgM Ab [Units/volume] in Cerebral spinal fluid by Immunoassay,http://loinc.org,2.69,[arb'U]/mL,X
4500,CMME,CK-MM Isoenzym [Fremdlabor],%,Klinische Chemie,emptyvalue,emptyvalue,9643-8,Creatine kinase.MM/Creatine kinase.total in Serum or Plasma,http://loinc.org,2.70,%,X
4503,CMM,Cytomegalievirus IgM,Index,Virologie,emptyvalue,emptyvalue,5126-8,Cytomegalovirus IgM Ab [Units/volume] in Serum or Plasma by Immunoassay,http://loinc.org,2.64,&#123;Index_val},X
4505,CMGL,Cytomegalievirus IgG,AU/ml,Virologie,emptyvalue,emptyvalue,6921-1,Cytomegalovirus IgG Ab [Units/volume] in Cerebral spinal fluid by Immunoassay,http://loinc.org,2.69,[arb'U]/mL,X
4508,CMG,Cytomegalievirus IgG,AU/ml,Virologie,emptyvalue,emptyvalue,5124-3,Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay,http://loinc.org,2.68,[arb'U]/mL,X
4509,CMEA,Cytomegalievirus pp65 Antigen (EDTA),emptyvalue,Virologie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
4510,CMBE,CK-MB Isoenzym [Fremdlabor],%,Klinische Chemie,emptyvalue,emptyvalue,20569-0,Creatine kinase.MB/Creatine kinase.total in Serum or Plasma,http://loinc.org,2.70,%,X
4511,CMAVBT,CMV Avidität,%,Virologie,emptyvalue,emptyvalue,52984-2,Cytomegalovirus IgG Ab avidity [Ratio] in Serum or Plasma by Immunoassay,http://loinc.org,emptyvalue,%,X
4512,CMA2,"Makro-CK II, [Fremdlabor]",%,Klinische Chemie,emptyvalue,emptyvalue,26020-8,Creatine Kinase.macromolecular type 2/Creatine kinase.total in Serum or Plasma,http://loinc.org,2.70,%,X
4513,CMA1,"Makro-CK I, [Fremdlabor]",%,Klinische Chemie,emptyvalue,emptyvalue,26019-0,Creatine Kinase.macromolecular type 1/Creatine kinase.total in Serum or Plasma,http://loinc.org,2.70,%,X
4514,CLTG,Chlamydia trachomatis IgG,Index,emptyvalue,emptyvalue,emptyvalue,emptyvalue,Chlamydia trachomatis IgG Ab [Units/volume] in Serum by Immunoassay,emptyvalue,emptyvalue,emptyvalue,X
4515,CLTA,Chlamydia trachomatis IGA,Index,emptyvalue,emptyvalue,emptyvalue,emptyvalue,Chlamydia trachomatis IgA Ab [Units/volume] in Serum by Immunoassay,emptyvalue,emptyvalue,emptyvalue,X
4516,CLT2,Chlamydia trachomatis,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
4517,CLT,Chlamydia trachomatis,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,Chlamydia trachomatis [Presence] in Specimen by Organism specific culture,emptyvalue,emptyvalue,emptyvalue,X
4518,CLPRO,Chlorprothixen [Fremdlabor],µg/l,Psychopharmaka,emptyvalue,emptyvalue,3476-9,Chlorprothixene [Mass/volume] in Serum or Plasma,http://loinc.org,2.42,ug/L,X
4519,CL--POCT,Chlorid-Ionen-Konz. in Plasma,mmol/L,BGA Sonstiges,emptyvalue,gemischtVenoes,100745-9,Chloride [Moles/volume] in Mixed venous blood,http://loinc.org,2.73,mmol/L,X
4520,CL--POCT,Chlorid-Ionen-Konz. in Plasma,mmol/L,Blutgasanalyse arteriell,emptyvalue,Arteriell,41650-3,Chloride [Moles/volume] in Arterial blood,http://loinc.org,2.70,mmol/L,X
4521,CL--POCT,Chlorid-Ionen-Konz. in Plasma,mmol/L,BGA Sonstiges,emptyvalue,emptyvalue,2069-3,Chloride [Moles/volume] in Blood,http://loinc.org,2.73,emptyvalue,X
4522,CL--POCT,Chlorid-Ionen-Konz. in Plasma,mmol/L,Blutgasanalyse venös,emptyvalue,Venoes,41649-5,Chloride [Moles/volume] in Venous blood,http://loinc.org,2.70,mmol/L,X
4523,CL--POCT,Chlorid-Ionen-Konz. in Plasma,mmol/L,Blutgasanalyse kapillär,emptyvalue,Kapillare,51590-8,Chloride [Moles/volume] in Capillary blood,http://loinc.org,2.70,mmol/L,X
4524,CLPM,Chlamydia pneumoniae IgM,Index,Bakteriologie,emptyvalue,emptyvalue,emptyvalue,Chlamydophila pneumoniae IgM Ab [Units/volume] in Serum by Immunoassay,emptyvalue,emptyvalue,emptyvalue,X
4525,CLPI,Chlamydia pneumoniae,emptyvalue,Bakteriologie,emptyvalue,emptyvalue,21184-7,Chlamydophila pneumoniae [Presence] in Specimen by Organism specific culture,http://loinc.org,2.69,emptyvalue,X
4526,CLPG,Chlamydia pneumoniae IgG,Index,Bakteriologie,emptyvalue,emptyvalue,emptyvalue,Chlamydophila pneumoniae IgG Ab [Units/volume] in Serum by Immunoassay,emptyvalue,emptyvalue,emptyvalue,X
4527,CLPA,Chlamydia pneumoniae IgA,Index,Bakteriologie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue
4528,CLOZAFV,Clozapin [Fremdlabor],µg/l,emptyvalue,emptyvalue,emptyvalue,6896-5,cloZAPine [Mass/volume] in Serum or Plasma,http://loinc.org,2.73,ug/L,X
4529,CLOZA,Clozapin,µg/l,Psychopharmaka,emptyvalue,emptyvalue,6896-5,cloZAPine [Mass/volume] in Serum or Plasma,http://loinc.org,2.63,ug/L,X
4530,CLOS,Chlamydia psittaci Gesamt-Ig [Fremdlabor],Titer,Bakteriologie,emptyvalue,emptyvalue,5079-9,Chlamydophila psittaci Ab [Titer] in Serum by Complement fixation,http://loinc.org,2.70,&#123;titer},X
4531,CLONA,Clonazepam [Fremdlabor],µg/l,Antiepileptika,emptyvalue,emptyvalue,3494-2,clonazePAM [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,ug/L,X
4532,CLOMI,Clomipramin,µg/l,Psychopharmaka,emptyvalue,emptyvalue,3491-8,Clomipramine [Mass/volume] in Serum or Plasma,http://loinc.org,2.34,ug/L,X
4533,CLOL,Chlamydia psittaci Gesamt-Ig,Titer,#NV,emptyvalue,emptyvalue,22179-6,Chlamydophila psittaci IgG Ab [Titer] in Cerebral spinal fluid,http://loinc.org,2.70,&#123;titer},X
4534,CLOI,Chlamydia gruppenspez.,emptyvalue,#NV,emptyvalue,emptyvalue,45099-9,Chlamydia sp identified in Body fluid by Organism specific culture,emptyvalue,2.19,emptyvalue,emptyvalue
4535,CLOBAM,Clobazam plus Desmethylclobazam [Fremdlabor],µg/l,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,ug/L,X
4536,CLOBA,Clobazam [Fremdlabor],µg/l,Psychopharmaka,emptyvalue,emptyvalue,3487-6,cloBAZam [Mass/volume] in Serum or Plasma,http://loinc.org,2.66,ug/L,X
4537,CLO,Chloramphenicol [Fremdlabor],mg/l,#NV,emptyvalue,emptyvalue,3455-3,Chloramphenicol [Mass/volume] in Serum or Plasma,http://loinc.org,2.40,mg/L,X
4538,CLINDA,Clindamycin [Fremdlabor],mg/l,#NV,emptyvalue,emptyvalue,3486-8,Clindamycin [Mass/volume] in Serum or Plasma,http://loinc.org,2.42,mg/L,X
4539,CL,Chlorid,mmol/l,Klinische Chemie,emptyvalue,emptyvalue,2075-0,Chloride [Moles/volume] in Serum or Plasma,http://loinc.org,2.70,mmol/L,X
4540,CK-S,CK im Serum,U/l,Klinische Chemie,emptyvalue,emptyvalue,2157-6,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,http://loinc.org,2.73,U/L,X
4541,CKP,CKMB-Prozent,%,Klinische Chemie,emptyvalue,emptyvalue,20569-0,Creatine kinase.MB/Creatine kinase.total in Serum or Plasma,http://loinc.org,2.70,%,X
4542,CKMB25,CK-MB [25°],U/l,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
4543,CKMB,CK-MB,U/l,Klinische Chemie,emptyvalue,emptyvalue,32673-6,Creatine kinase.MB [Enzymatic activity/volume] in Serum or Plasma,http://loinc.org,2.70,U/L,X
4544,CKIS,CK-Isoenzyme [Fremdlabor],emptyvalue,#NV,emptyvalue,emptyvalue,5912-1,Creatine kinase isoenzymes [Interpretation] in Serum or Plasma,http://loinc.org,2.26,emptyvalue,X
4545,CKFV,CK (nach IFCC) [Fremdlabor],U/l,Klinische Chemie,emptyvalue,emptyvalue,2157-6,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,http://loinc.org,2.70,U/L,X
4546,CK25,CK  [25°],U/l,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
4547,CK,CK,U/l,Klinische Chemie,emptyvalue,emptyvalue,2157-6,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,http://loinc.org,2.70,U/L,X
4548,CHYM,Chymotrypsin (Stuhl) [Fremdlabor],U/g Stuhl,Stuhldiagnostik,emptyvalue,emptyvalue,25375-7,Chymotrypsin [Enzymatic activity/mass] in Stool,http://loinc.org,2.70,U/g,X
4549,CHOL-S,Cholesterin im Serum,mg/dl,Klinische Chemie,emptyvalue,emptyvalue,2093-3,Cholesterol [Mass/volume] in Serum or Plasma,http://loinc.org,2.73,mg/dL,X
4550,CHOL,Cholesterin,mg/dl,Klinische Chemie,emptyvalue,emptyvalue,2093-3,Cholesterol [Mass/volume] in Serum or Plasma,http://loinc.org,2.58,mg/dL,X
4551,CHLORD,Chlordiazepoxid [Fremdlabor],µg/l,Psychopharmaka,emptyvalue,emptyvalue,3457-9,chlordiazePOXIDE [Mass/volume] in Serum or Plasma,http://loinc.org,2.40,ug/L,X
4552,CHIN,Chinidin [Fremdlabor],mg/l,#REF!,emptyvalue,emptyvalue,6694-4,quiNIDine [Mass/volume] in Serum or Plasma,http://loinc.org,2.40,mg/L,X
4553,CHIKV,Chikungunya-Virus,emptyvalue,Virologie,emptyvalue,emptyvalue,51664-1	,Chikungunya virus RNA [Presence] in Specimen by NAA with probe detection,http://loinc.org,2.69,emptyvalue,X
4554,CH50,CH50 [Fremdlabor],U/ml,Proteindiagnostik,emptyvalue,emptyvalue,4532-8,Complement total hemolytic CH50 [Units/volume] in Serum or Plasma,http://loinc.org,2.70,[arb'U]/mL,X
4555,CH100,CH 100  [Fremdlabor],kU/l,#NV,emptyvalue,emptyvalue,13088-0,Complement total hemolytic CH100 [Units/volume] in Serum or Plasma,http://loinc.org,2.68,kU/l,X
4556,CFN,Zellulaeres Fibronectin,ug/l,Proteindiagnostik,emptyvalue,emptyvalue,2280-6,Fibronectin [Mass/volume] in Plasma,http://loinc.org,2.42,ug/mL,X
4557,CERO,Cerotinsäure (C26:0) [Fremdlabor],µmol/l,#NV,emptyvalue,emptyvalue,30197-8,Fatty acids.very long chain C26:0 (Hexacosanoate) [Moles/volume] in Serum or Plasma,http://loinc.org,2.40,umol/L,X
4558,CEFTA,Ceftazidim,mg/l,Antibiotika,emptyvalue,emptyvalue,3449-6,cefTAZidime [Mass/volume] in Serum or Plasma,http://loinc.org,2.42,mg/L,X
4559,CEFE,Cefepim,mg/l,Antibiotika,emptyvalue,emptyvalue,38363-8,Cefepime [Mass/volume] in Serum or Plasma,http://loinc.org,2.34,mg/L,X
4560,CEA,CEA,µg/l,Tumormarker,emptyvalue,emptyvalue,83085-1,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma by Immunoassay,http://loinc.org,2.58,ug/L,X
4561,CDTP,CDT (prozentual),%,Blut,emptyvalue,emptyvalue,48495-6,Transferrin.carbohydrate deficient/Transferrin.total in Serum or Plasma,http://loinc.org,2.70,%,X
4563,CD,Cadmium (Vollblut) [Fremdlabor],µg/l,#NV,emptyvalue,emptyvalue,5609-3,Cadmium [Mass/volume] in Blood,http://loinc.org,2.34,ug/L,X
4564,CCP,"CCP, Ak geg.",RE/ml,Rheumatoide Arthritis assoziierte Autoantikörper,emptyvalue,emptyvalue,32218-0,Cyclic citrullinated peptide Ab [Units/volume] in Serum by Immunoassay,http://loinc.org,2.70,[arb'U]/mL,X
4566,CCK,CCK,pmol/l,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
4567,CBIL-S,Bilirubin (dir.),mg/dl,emptyvalue,emptyvalue,emptyvalue,1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma,http://loinc.org,2.73,mg/dL,X
4568,CBIL,Bilirubin (dir.),mg/dl,Klinische Chemie,emptyvalue,emptyvalue,1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma,http://loinc.org,2.70,mg/dL,X
4570,CBBE,CK-BB Isoenzym [Fremdlabor],%,Klinische Chemie,emptyvalue,emptyvalue,9642-0,Creatine kinase.BB/Creatine kinase.total in Serum or Plasma,http://loinc.org,2.70,%,X
4573,CB2M,Q-Fieber IgM Phase 2,emptyvalue,Bakteriologie,emptyvalue,emptyvalue,29773-9,Coxiella burnetii phase 2 IgM Ab [Presence] in Serum by Immunoassay,http://loinc.org,2.56,emptyvalue,X
4576,CB2G,Q-Fieber IgG Phase 2,U/ml,Bakteriologie,emptyvalue,emptyvalue,51812-6,Coxiella burnetii phase 2 IgG Ab [Units/volume] in Serum by Immunoassa,http://loinc.org,2.69,[arb'U]/mL,X
4579,CB1G,Q-Fieber IgG Phase 1,emptyvalue,Bakteriologie,emptyvalue,emptyvalue,48720-7,Coxiella burnetii phase 1 IgG Ab [Presence] in Serum by Immunofluorescence,http://loinc.org,2.56,emptyvalue,X
4582,CB1A,Q-Fieber IgA Phase 1,emptyvalue,Bakteriologie,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
4584,CATG,"Cathepsin G, Ak geg.",Ratio,Vasculitis assoziierte Autoantikörper,emptyvalue,emptyvalue,63215-8,Cathepsin G Ab [Units/volume] in Serum by Immunoassay,http://loinc.org,2.69,&#123;ratio},X
4586,CASTSI,Stimulationsindex (FlowCAST),emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,X
4587,CASTBAS,Basalwert (Background Patient),% CD63pos,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue,emptyvalue
4589,CASPR2,"Contactin Associated Protein 2, Ak gegen [Fremdlabor]",emptyvalue,Proteindiagnostik,emptyvalue,emptyvalue,101240-0,Contactin-associated protein 2 Ab [Presence] in Serum or Plasma by Immunofluorescence,http://loinc.org,2.75,emptyvalue,X
4590,CA-S,Calcium,mmol/l,emptyvalue,emptyvalue,emptyvalue,2000-8,Calcium [Moles/volume] in Serum or Plasma,http://loinc.org,2.73,mmol/L,X
4593,CARDM,"Cardiolipin IgM, Ak geg.",emptyvalue,Kollagenose-assoziierte Autoantikörper,emptyvalue,emptyvalue,24386-5,Cardiolipin IgM Ab [Presence] in Serum by Immunoassay,http://loinc.org,2.73,emptyvalue,emptyvalue
4595,CARDG,"Cardiolipin IgG, Ak geg.",RE/ml,Thrombophilie Tests,emptyvalue,emptyvalue,3181-5,Cardiolipin IgG Ab [Units/volume] in Serum by Immunoassay,http://loinc.org,2.56,[arb'U]/mL,X
4597,CARDA,"Cardiolipin IgA, Ak geg.",RE/ml,Thrombophilie Tests,emptyvalue,emptyvalue,5076-5,Cardiolipin IgA Ab [Units/volume] in Serum by Immunoassay,http://loinc.org,2.56,[arb'U]/mL,X
